n1,n2,weight
40083,58018,1
58321,58324,-1
58321,58325,-1
40084,58790,1
40085,58017,1
40085,58014,1
40085,58015,1
40085,58016,1
40085,58018,1
58322,58790,-1
58323,58015,-1
58323,58016,-1
58323,58018,-1
58323,58014,-1
58323,58017,-1
40086,58790,1
40087,58014,1
40087,58017,1
40087,58018,1
40087,58016,1
40087,58015,1
58324,58790,-1
58325,58018,-1
58325,58016,-1
58325,58015,-1
58325,58017,-1
58325,58014,-1
40088,58022,1
40089,57972,1
58326,39516,-1
58327,39516,-1
58328,39517,-1
58328,39518,-1
58329,39517,-1
58329,39518,-1
40090,39516,1
40091,39516,1
40092,39516,1
40093,39516,1
40094,58022,1
58330,58023,-1
58330,58024,-1
40095,39515,1
40096,39518,1
40096,39517,1
40097,39514,1
40099,39514,1
40098,39518,1
40098,39517,1
40100,39517,1
40100,39518,1
40101,39516,1
40102,39515,1
40103,39515,1
40104,39516,1
58331,39516,-1
40105,58020,1
40106,57982,1
40107,58020,1
40108,58012,1
40109,39521,1
40109,58026,1
40110,58026,1
40110,39521,1
58332,58028,-1
58332,39523,-1
40111,39520,1
40111,58025,1
40112,58025,1
40112,39520,1
58333,57917,-1
58334,57990,-1
58334,57989,-1
40113,39525,1
40113,58029,1
40114,39525,1
40114,58029,1
40115,39524,1
40116,39524,1
40117,39524,1
40118,39524,1
40119,39524,1
40120,39525,1
40120,58029,1
40121,58029,1
40121,39525,1
40122,39525,1
40122,58029,1
58335,58034,-1
58336,58031,-1
58337,58032,-1
40123,39495,1
40124,39495,1
40125,39495,1
40126,39454,1
58338,58039,-1
40127,39485,1
40128,39416,1
58339,80642,-1
40129,57970,1
40130,57970,1
40131,57970,1
58340,39417,-1
58341,58039,-1
40132,80642,1
40133,39532,1
58342,39517,-1
58342,39518,-1
58343,39532,-1
40134,57896,1
40135,57924,1
40136,57991,1
40137,57924,1
40138,58040,1
40139,57991,1
40140,58040,1
40141,80642,1
58344,57896,-1
58345,39524,-1
40142,58037,1
40142,58038,1
40143,39522,1
40143,58027,1
40144,58027,1
40144,39522,1
40145,39533,1
40146,39533,1
58346,57893,-1
58347,39987,-1
58348,39488,-1
40147,39511,1
40148,39511,1
58349,57895,-1
58350,58018,-1
58350,58017,-1
58350,58016,-1
58350,58014,-1
58350,58015,-1
