key, n_sentences, n_pro_relations, n_cons_relations, avg_out_pro_deg, avg_out_cons_deg, max_out_pro_deg, max_out_cons_deg, avg_in_pro_deg, avg_in_cons_deg, max_in_pro_deg, max_in_cons_deg, avg_depth, max_depth, min_label_size, avg_label_size, max_label_size, min_descr_size, avg_descr_size, max_descr_size
"wd6", 3, 2, 0, 0.6666666666666667, 0.0, 1, 0, 0.6666666666666666, 0.0, 2, 0, 0.6666666666666667, 1, 0, 27.0, 47, 0, 10802.333333333334, 32407
"wd7", 92, 36, 59, 0.3913043478260869, 0.6413043478260869, 2, 2, 0.3913043478260872, 0.641304347826087, 6, 5, 2.2717391304347823, 4, 38, 71.04347826086955, 126, 6, 140.26086956521738, 8514
"wd8", 51, 27, 28, 0.5294117647058824, 0.5490196078431372, 2, 2, 0.5294117647058822, 0.5490196078431373, 4, 4, 2.2352941176470584, 4, 0, 40.78431372549019, 80, 0, 210.43137254901958, 2692
"wd9", 152, 49, 122, 0.3223684210526315, 0.8026315789473681, 1, 7, 0.32236842105263175, 0.8026315789473683, 6, 9, 2.7105263157894757, 5, 22, 73.61842105263159, 198, 0, 414.00657894736844, 8604
"wd10", 9, 4, 4, 0.4444444444444444, 0.44444444444444453, 1, 1, 0.4444444444444444, 0.44444444444444453, 4, 2, 1.1111111111111112, 2, 29, 62.333333333333336, 132, 0, 545.5555555555555, 2554
"wd11", 81, 46, 41, 0.5679012345679014, 0.5061728395061729, 1, 1, 0.5679012345679013, 0.5061728395061726, 7, 7, 2.1975308641975313, 4, 27, 77.6666666666667, 196, 0, 64.35802469135805, 4469
"wd12", 3, 2, 0, 0.6666666666666667, 0.0, 1, 0, 0.6666666666666666, 0.0, 2, 0, 0.6666666666666667, 1, 40, 53.333333333333336, 68, 267, 322.6666666666667, 361
"wd13", 44, 6, 38, 0.13636363636363635, 0.8636363636363638, 1, 2, 0.13636363636363635, 0.8636363636363638, 6, 6, 1.7499999999999998, 3, 51, 84.4090909090909, 133, 6, 281.11363636363643, 2258
"wd14", 38, 18, 19, 0.4736842105263158, 0.5, 1, 1, 0.47368421052631576, 0.4999999999999999, 4, 4, 2.105263157894737, 4, 25, 76.76315789473682, 147, 0, 69.23684210526315, 2499
"wd15", 3, 1, 1, 0.33333333333333337, 0.33333333333333337, 1, 1, 0.3333333333333333, 0.3333333333333333, 1, 1, 0.6666666666666667, 1, 28, 38.333333333333336, 45, 64, 371.3333333333333, 954
"wd16", 39, 24, 15, 0.6153846153846153, 0.38461538461538464, 2, 1, 0.6153846153846153, 0.3846153846153846, 7, 3, 2.128205128205129, 4, 17, 57.35897435897437, 161, 0, 78.66666666666664, 825
